Date,Opponent,Segment,Arena,Location,Attendance,Home Team,Year
23-May-08,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",11609,Atlanta Dream,2008
25-May-08,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",11186,Atlanta Dream,2008
3-Jun-08,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",5844,Atlanta Dream,2008
6-Jun-08,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",7418,Atlanta Dream,2008
11-Jun-08,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5936,Atlanta Dream,2008
13-Jun-08,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",8167,Atlanta Dream,2008
18-Jun-08,San Antonio Silver Stars,Regular season,Philips Arena,"Atlanta, GA",6225,Atlanta Dream,2008
22-Jun-08,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",7865,Atlanta Dream,2008
1-Jul-08,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",9795,Atlanta Dream,2008
3-Jul-08,Houston Comets,Regular season,Philips Arena,"Atlanta, GA",7430,Atlanta Dream,2008
5-Jul-08,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",8468,Atlanta Dream,2008
22-Jul-08,Sacramento Monarchs,Regular season,Philips Arena,"Atlanta, GA",10431,Atlanta Dream,2008
25-Jul-08,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",8279,Atlanta Dream,2008
27-Jul-08,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",8759,Atlanta Dream,2008
29-Aug-08,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",11442,Atlanta Dream,2008
2-Sep-08,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",7390,Atlanta Dream,2008
8-Sep-08,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",7706,Atlanta Dream,2008
6-Jun-09,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",8709,Atlanta Dream,2009
19-Jun-09,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",6050,Atlanta Dream,2009
21-Jun-09,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5624,Atlanta Dream,2009
23-Jun-09,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",10351,Atlanta Dream,2009
26-Jun-09,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",5935,Atlanta Dream,2009
30-Jun-09,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",7686,Atlanta Dream,2009
3-Jul-09,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",5456,Atlanta Dream,2009
7-Jul-09,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",6225,Atlanta Dream,2009
30-Jul-09,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",7827,Atlanta Dream,2009
1-Aug-09,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6103,Atlanta Dream,2009
8-Aug-09,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",5424,Atlanta Dream,2009
13-Aug-09,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",5641,Atlanta Dream,2009
15-Aug-09,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",8751,Atlanta Dream,2009
20-Aug-09,San Antonio Silver Stars,Regular season,Philips Arena,"Atlanta, GA",5848,Atlanta Dream,2009
23-Aug-09,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",11304,Atlanta Dream,2009
25-Aug-09,Sacramento Monarchs,Regular season,Philips Arena,"Atlanta, GA",5159,Atlanta Dream,2009
11-Sep-09,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",8644,Atlanta Dream,2009
18-Sep-09,Detroit Shock,Eastern Conference Semifinals,Gwinnett Center,"Duluth, GA",4780,Atlanta Dream,2009
16-May-10,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",7337,Atlanta Dream,2010
21-May-10,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",4092,Atlanta Dream,2010
4-Jun-10,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",5655,Atlanta Dream,2010
13-Jun-10,San Antonio Silver Stars,Regular season,Philips Arena,"Atlanta, GA",6050,Atlanta Dream,2010
23-Jun-10,Tulsa Shock,Regular season,Philips Arena,"Atlanta, GA",9598,Atlanta Dream,2010
27-Jun-10,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",7855,Atlanta Dream,2010
29-Jun-10,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",4073,Atlanta Dream,2010
1-Jul-10,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",4020,Atlanta Dream,2010
3-Jul-10,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",6920,Atlanta Dream,2010
7-Jul-10,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",5305,Atlanta Dream,2010
25-Jul-10,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",7030,Atlanta Dream,2010
1-Aug-10,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",6270,Atlanta Dream,2010
3-Aug-10,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",9072,Atlanta Dream,2010
10-Aug-10,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",6042,Atlanta Dream,2010
13-Aug-10,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6025,Atlanta Dream,2010
17-Aug-10,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",5209,Atlanta Dream,2010
22-Aug-10,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",9570,Atlanta Dream,2010
27-Aug-10,Washington Mystics,Eastern Conference Semifinals,Philips Arena,"Atlanta, GA",7890,Atlanta Dream,2010
7-Sep-10,New York Liberty,Eastern Conference Finals,Philips Arena,"Atlanta, GA",9045,Atlanta Dream,2010
16-Sep-10,Seattle Storm,Finals,Philips Arena,"Atlanta, GA",10522,Atlanta Dream,2010
5-Jun-11,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",8038,Atlanta Dream,2011
9-Jun-11,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",5020,Atlanta Dream,2011
19-Jun-11,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",7274,Atlanta Dream,2011
21-Jun-11,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",6154,Atlanta Dream,2011
24-Jun-11,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",5492,Atlanta Dream,2011
26-Jun-11,San Antonio Silver Stars,Regular season,Philips Arena,"Atlanta, GA",5718,Atlanta Dream,2011
30-Jun-11,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4423,Atlanta Dream,2011
16-Jul-11,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",7413,Atlanta Dream,2011
19-Jul-11,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",7645,Atlanta Dream,2011
28-Jul-11,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",6701,Atlanta Dream,2011
2-Aug-11,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4573,Atlanta Dream,2011
7-Aug-11,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",7337,Atlanta Dream,2011
19-Aug-11,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",7225,Atlanta Dream,2011
30-Aug-11,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",6467,Atlanta Dream,2011
2-Sep-11,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",6579,Atlanta Dream,2011
4-Sep-11,Tulsa Shock,Regular season,Philips Arena,"Atlanta, GA",7661,Atlanta Dream,2011
6-Sep-11,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",6558,Atlanta Dream,2011
18-Sep-11,Connecticut Sun,Eastern Conference Semifinals,Philips Arena,"Atlanta, GA",6887,Atlanta Dream,2011
25-Sep-11,Indiana Fever,Eastern Conference Finals,Philips Arena,"Atlanta, GA",8052,Atlanta Dream,2011
7-Oct-11,Minnesota Lynx,Finals,Philips Arena,"Atlanta, GA",11543,Atlanta Dream,2011
25-May-12,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6802,Atlanta Dream,2012
27-May-12,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",7282,Atlanta Dream,2012
31-May-12,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",4887,Atlanta Dream,2012
2-Jun-12,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",4503,Atlanta Dream,2012
8-Jun-12,San Antonio Silver Stars,Regular season,Philips Arena,"Atlanta, GA",4501,Atlanta Dream,2012
15-Jun-12,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",8872,Atlanta Dream,2012
17-Jun-12,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",4323,Atlanta Dream,2012
19-Jun-12,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4134,Atlanta Dream,2012
26-Jun-12,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",8388,Atlanta Dream,2012
22-Aug-12,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",4010,Atlanta Dream,2012
25-Aug-12,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",7224,Atlanta Dream,2012
28-Aug-12,Tulsa Shock,Regular season,Philips Arena,"Atlanta, GA",2813,Atlanta Dream,2012
30-Aug-12,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",3381,Atlanta Dream,2012
2-Sep-12,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",5020,Atlanta Dream,2012
5-Sep-12,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",4112,Atlanta Dream,2012
9-Sep-12,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",6898,Atlanta Dream,2012
11-Sep-12,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",5558,Atlanta Dream,2012
30-Sep-12,Indiana Fever,Eastern Conference Semifinals,Philips Arena,"Atlanta, GA",6890,Atlanta Dream,2012
25-May-13,Tulsa Shock,Regular season,Philips Arena,"Atlanta, GA",7519,Atlanta Dream,2013
7-Jun-13,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6173,Atlanta Dream,2013
14-Jun-13,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",4960,Atlanta Dream,2013
16-Jun-13,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",5552,Atlanta Dream,2013
25-Jun-13,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",10155,Atlanta Dream,2013
28-Jun-13,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",5512,Atlanta Dream,2013
30-Jun-13,San Antonio Silver Stars,Regular season,Philips Arena,"Atlanta, GA",5359,Atlanta Dream,2013
24-Jul-13,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",4434,Atlanta Dream,2013
11-Aug-13,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",4576,Atlanta Dream,2013
16-Aug-13,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",4435,Atlanta Dream,2013
18-Aug-13,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",4873,Atlanta Dream,2013
20-Aug-13,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",4855,Atlanta Dream,2013
24-Aug-13,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",7412,Atlanta Dream,2013
28-Aug-13,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",4415,Atlanta Dream,2013
2-Sep-13,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",5504,Atlanta Dream,2013
4-Sep-13,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",4019,Atlanta Dream,2013
8-Sep-13,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",9740,Atlanta Dream,2013
19-Sep-13,Washington Mystics,Eastern Conference Semifinals,Philips Arena,"Atlanta, GA",3862,Atlanta Dream,2013
23-Sep-13,Washington Mystics,Eastern Conference Semifinals,Philips Arena,"Atlanta, GA",4078,Atlanta Dream,2013
26-Sep-13,Indiana Fever,Eastern Conference Finals,Philips Arena,"Atlanta, GA",4238,Atlanta Dream,2013
10-Oct-13,Minnesota Lynx,Finals,Gwinnett Center,"Duluth, GA",5040,Atlanta Dream,2013
16-May-14,San Antonio Stars,Regular season,Philips Arena,"Atlanta, GA",4575,Atlanta Dream,2014
25-May-14,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",5517,Atlanta Dream,2014
30-May-14,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",5486,Atlanta Dream,2014
3-Jun-14,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",5409,Atlanta Dream,2014
7-Jun-14,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",5458,Atlanta Dream,2014
13-Jun-14,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",6684,Atlanta Dream,2014
18-Jun-14,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",8895,Atlanta Dream,2014
20-Jun-14,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6129,Atlanta Dream,2014
1-Jul-14,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",5037,Atlanta Dream,2014
5-Jul-14,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",6382,Atlanta Dream,2014
8-Jul-14,Connecticut Sun,Regular season,McCamish Pavilion,"Atlanta, GA",3496,Atlanta Dream,2014
13-Jul-14,Chicago Sky,Regular season,McCamish Pavilion,"Atlanta, GA",4118,Atlanta Dream,2014
25-Jul-14,Chicago Sky,Regular season,McCamish Pavilion,"Atlanta, GA",4544,Atlanta Dream,2014
29-Jul-14,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",4308,Atlanta Dream,2014
3-Aug-14,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6547,Atlanta Dream,2014
13-Aug-14,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",7663,Atlanta Dream,2014
15-Aug-14,Tulsa Shock,Regular season,Philips Arena,"Atlanta, GA",9439,Atlanta Dream,2014
22-Aug-14,Chicago Sky,Eastern Conference Semifinals,Philips Arena,"Atlanta, GA",5985,Atlanta Dream,2014
26-Aug-14,Chicago Sky,Eastern Conference Semifinals,Philips Arena,"Atlanta, GA",4829,Atlanta Dream,2014
7-Jun-15,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",8358,Atlanta Dream,2015
11-Jun-15,San Antonio Stars,Regular season,Philips Arena,"Atlanta, GA",4308,Atlanta Dream,2015
16-Jun-15,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",9814,Atlanta Dream,2015
19-Jun-15,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",5166,Atlanta Dream,2015
21-Jun-15,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5805,Atlanta Dream,2015
26-Jun-15,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",5861,Atlanta Dream,2015
5-Jul-15,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",5385,Atlanta Dream,2015
7-Jul-15,Tulsa Shock,Regular season,Philips Arena,"Atlanta, GA",6744,Atlanta Dream,2015
12-Jul-15,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6028,Atlanta Dream,2015
2-Aug-15,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",7352,Atlanta Dream,2015
14-Aug-15,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",5890,Atlanta Dream,2015
16-Aug-15,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",5661,Atlanta Dream,2015
25-Aug-15,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",5573,Atlanta Dream,2015
29-Aug-15,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",6872,Atlanta Dream,2015
6-Sep-15,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",5584,Atlanta Dream,2015
9-Sep-15,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",3856,Atlanta Dream,2015
11-Sep-15,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",5823,Atlanta Dream,2015
22-May-16,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",6152,Atlanta Dream,2016
29-May-16,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",5233,Atlanta Dream,2016
5-Jun-16,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",3611,Atlanta Dream,2016
10-Jun-16,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",5368,Atlanta Dream,2016
12-Jun-16,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",4486,Atlanta Dream,2016
17-Jun-16,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",4560,Atlanta Dream,2016
22-Jun-16,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",10345,Atlanta Dream,2016
3-Jul-16,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",6557,Atlanta Dream,2016
5-Jul-16,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",3983,Atlanta Dream,2016
8-Jul-16,Dallas Wings,Regular season,Philips Arena,"Atlanta, GA",6745,Atlanta Dream,2016
17-Jul-16,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",7551,Atlanta Dream,2016
22-Jul-16,Dallas Wings,Regular season,McCamish Pavilion,"Atlanta, GA",4749,Atlanta Dream,2016
28-Aug-16,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",7055,Atlanta Dream,2016
4-Sep-16,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",5695,Atlanta Dream,2016
6-Sep-16,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",3625,Atlanta Dream,2016
13-Sep-16,San Antonio Stars,Regular season,Philips Arena,"Atlanta, GA",5312,Atlanta Dream,2016
15-Sep-16,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",4404,Atlanta Dream,2016
21-Sep-16,Seattle Storm,First Round,McCamish Pavilion,"Atlanta, GA",2553,Atlanta Dream,2016
21-May-17,Chicago Sky,Regular season,McCamish Pavilion,"Atlanta, GA",4859,Atlanta Dream,2017
27-May-17,Los Angeles Sparks,Regular season,McCamish Pavilion,"Atlanta, GA",4253,Atlanta Dream,2017
31-May-17,San Antonio Stars,Regular season,McCamish Pavilion,"Atlanta, GA",3813,Atlanta Dream,2017
23-Jun-17,Chicago Sky,Regular season,McCamish Pavilion,"Atlanta, GA",4237,Atlanta Dream,2017
30-Jun-17,Los Angeles Sparks,Regular season,McCamish Pavilion,"Atlanta, GA",4119,Atlanta Dream,2017
2-Jul-17,New York Liberty,Regular season,McCamish Pavilion,"Atlanta, GA",3521,Atlanta Dream,2017
7-Jul-17,Indiana Fever,Regular season,McCamish Pavilion,"Atlanta, GA",3359,Atlanta Dream,2017
9-Jul-17,Dallas Wings,Regular season,McCamish Pavilion,"Atlanta, GA",4019,Atlanta Dream,2017
18-Jul-17,San Antonio Stars,Regular season,McCamish Pavilion,"Atlanta, GA",7413,Atlanta Dream,2017
25-Jul-17,Phoenix Mercury,Regular season,McCamish Pavilion,"Atlanta, GA",4053,Atlanta Dream,2017
28-Jul-17,Minnesota Lynx,Regular season,McCamish Pavilion,"Atlanta, GA",4197,Atlanta Dream,2017
30-Jul-17,Washington Mystics,Regular season,McCamish Pavilion,"Atlanta, GA",4185,Atlanta Dream,2017
8-Aug-17,Minnesota Lynx,Regular season,McCamish Pavilion,"Atlanta, GA",4006,Atlanta Dream,2017
11-Aug-17,New York Liberty,Regular season,McCamish Pavilion,"Atlanta, GA",5158,Atlanta Dream,2017
15-Aug-17,Connecticut Sun,Regular season,McCamish Pavilion,"Atlanta, GA",4585,Atlanta Dream,2017
23-Aug-17,Seattle Storm,Regular season,McCamish Pavilion,"Atlanta, GA",4878,Atlanta Dream,2017
26-Aug-17,Indiana Fever,Regular season,McCamish Pavilion,"Atlanta, GA",5029,Atlanta Dream,2017
26-May-18,Dallas Wings,Regular season,McCamish Pavilion,"Atlanta, GA",4749,Atlanta Dream,2018
29-May-18,Minnesota Lynx,Regular season,McCamish Pavilion,"Atlanta, GA",3785,Atlanta Dream,2018
3-Jun-18,Phoenix Mercury,Regular season,McCamish Pavilion,"Atlanta, GA",3796,Atlanta Dream,2018
5-Jun-18,Connecticut Sun,Regular season,McCamish Pavilion,"Atlanta, GA",2830,Atlanta Dream,2018
14-Jun-18,Indiana Fever,Regular season,McCamish Pavilion,"Atlanta, GA",6561,Atlanta Dream,2018
22-Jun-18,Connecticut Sun,Regular season,McCamish Pavilion,"Atlanta, GA",4047,Atlanta Dream,2018
6-Jul-18,Seattle Storm,Regular season,McCamish Pavilion,"Atlanta, GA",3935,Atlanta Dream,2018
8-Jul-18,Phoenix Mercury,Regular season,McCamish Pavilion,"Atlanta, GA",3952,Atlanta Dream,2018
13-Jul-18,Indiana Fever,Regular season,McCamish Pavilion,"Atlanta, GA",3807,Atlanta Dream,2018
15-Jul-18,Washington Mystics,Regular season,McCamish Pavilion,"Atlanta, GA",3880,Atlanta Dream,2018
19-Jul-18,New York Liberty,Regular season,McCamish Pavilion,"Atlanta, GA",3074,Atlanta Dream,2018
22-Jul-18,Seattle Storm,Regular season,McCamish Pavilion,"Atlanta, GA",4916,Atlanta Dream,2018
31-Jul-18,Washington Mystics,Regular season,McCamish Pavilion,"Atlanta, GA",3648,Atlanta Dream,2018
3-Aug-18,Chicago Sky,Regular season,McCamish Pavilion,"Atlanta, GA",5120,Atlanta Dream,2018
7-Aug-18,Las Vegas Aces,Regular season,McCamish Pavilion,"Atlanta, GA",4033,Atlanta Dream,2018
9-Aug-18,Los Angeles Sparks,Regular season,McCamish Pavilion,"Atlanta, GA",4235,Atlanta Dream,2018
11-Aug-18,Dallas Wings,Regular season,McCamish Pavilion,"Atlanta, GA",4937,Atlanta Dream,2018
26-Aug-18,Washington Mystics,Semifinals,McCamish Pavilion,"Atlanta, GA",5086,Atlanta Dream,2018
28-Aug-18,Washington Mystics,Semifinals,McCamish Pavilion,"Atlanta, GA",3813,Atlanta Dream,2018
4-Sep-18,Washington Mystics,Semifinals,McCamish Pavilion,"Atlanta, GA",4435,Atlanta Dream,2018
24-May-19,Dallas Wings,Regular season,State Farm Arena,"Atlanta, GA",3070,Atlanta Dream,2019
31-May-19,Seattle Storm,Regular season,State Farm Arena,"Atlanta, GA",2119,Atlanta Dream,2019
6-Jun-19,Las Vegas Aces,Regular season,State Farm Arena,"Atlanta, GA",2630,Atlanta Dream,2019
9-Jun-19,Connecticut Sun,Regular season,State Farm Arena,"Atlanta, GA",3082,Atlanta Dream,2019
19-Jun-19,Indiana Fever,Regular season,State Farm Arena,"Atlanta, GA",6474,Atlanta Dream,2019
23-Jun-19,Washington Mystics,Regular season,State Farm Arena,"Atlanta, GA",4136,Atlanta Dream,2019
30-Jun-19,New York Liberty,Regular season,State Farm Arena,"Atlanta, GA",4359,Atlanta Dream,2019
10-Jul-19,Connecticut Sun,Regular season,State Farm Arena,"Atlanta, GA",3866,Atlanta Dream,2019
12-Jul-19,Minnesota Lynx,Regular season,State Farm Arena,"Atlanta, GA",4001,Atlanta Dream,2019
14-Jul-19,Los Angeles Sparks,Regular season,State Farm Arena,"Atlanta, GA",5083,Atlanta Dream,2019
23-Jul-19,Los Angeles Sparks,Regular season,State Farm Arena,"Atlanta, GA",7047,Atlanta Dream,2019
3-Aug-19,Chicago Sky,Regular season,State Farm Arena,"Atlanta, GA",5427,Atlanta Dream,2019
6-Aug-19,Minnesota Lynx,Regular season,State Farm Arena,"Atlanta, GA",3395,Atlanta Dream,2019
20-Aug-19,Chicago Sky,Regular season,State Farm Arena,"Atlanta, GA",4662,Atlanta Dream,2019
30-Aug-19,Phoenix Mercury,Regular season,State Farm Arena,"Atlanta, GA",3727,Atlanta Dream,2019
5-Sep-19,Las Vegas Aces,Regular season,State Farm Arena,"Atlanta, GA",4023,Atlanta Dream,2019
8-Sep-19,New York Liberty,Regular season,State Farm Arena,"Atlanta, GA",5495,Atlanta Dream,2019
14-May-21,Connecticut Sun,Regular season,Gateway Center Arena,"Atlanta, GA",561,Atlanta Dream,2021
19-May-21,Chicago Sky,Regular season,Gateway Center Arena,"Atlanta, GA",689,Atlanta Dream,2021
27-May-21,Dallas Wings,Regular season,Gateway Center Arena,"Atlanta, GA",711,Atlanta Dream,2021
9-Jun-21,Seattle Storm,Regular season,Gateway Center Arena,"Atlanta, GA",1014,Atlanta Dream,2021
11-Jun-21,Seattle Storm,Regular season,Gateway Center Arena,"Atlanta, GA",1405,Atlanta Dream,2021
13-Jun-21,Washington Mystics,Regular season,Gateway Center Arena,"Atlanta, GA",1122,Atlanta Dream,2021
23-Jun-21,Minnesota Lynx,Regular season,Gateway Center Arena,"Atlanta, GA",907,Atlanta Dream,2021
26-Jun-21,New York Liberty,Regular season,Gateway Center Arena,"Atlanta, GA",1605,Atlanta Dream,2021
29-Jun-21,New York Liberty,Regular season,Gateway Center Arena,"Atlanta, GA",1131,Atlanta Dream,2021
11-Jul-21,Indiana Fever,Regular season,Gateway Center Arena,"Atlanta, GA",1897,Atlanta Dream,2021
21-Aug-21,Phoenix Mercury,Regular season,Gateway Center Arena,"Atlanta, GA",2073,Atlanta Dream,2021
24-Aug-21,Chicago Sky,Regular season,Gateway Center Arena,"Atlanta, GA",1292,Atlanta Dream,2021
26-Aug-21,Las Vegas Aces,Regular season,Gateway Center Arena,"Atlanta, GA",2182,Atlanta Dream,2021
8-Sep-21,Phoenix Mercury,Regular season,Gateway Center Arena,"Atlanta, GA",1215,Atlanta Dream,2021
14-Sep-21,Indiana Fever,Regular season,Gateway Center Arena,"Atlanta, GA",1208,Atlanta Dream,2021
16-Sep-21,Los Angeles Sparks,Regular season,Gateway Center Arena,"Atlanta, GA",2537,Atlanta Dream,2021
11-May-22,Los Angeles Sparks,Regular season,Gateway Center Arena,"Atlanta, GA",3138,Atlanta Dream,2022
13-May-22,Las Vegas Aces,Regular season,Gateway Center Arena,"Atlanta, GA",3138,Atlanta Dream,2022
20-May-22,Washington Mystics,Regular season,Gateway Center Arena,"Atlanta, GA",2237,Atlanta Dream,2022
29-May-22,Phoenix Mercury,Regular season,Gateway Center Arena,"Atlanta, GA",3138,Atlanta Dream,2022
1-Jun-22,Minnesota Lynx,Regular season,Gateway Center Arena,"Atlanta, GA",1268,Atlanta Dream,2022
3-Jun-22,Chicago Sky,Regular season,Gateway Center Arena,"Atlanta, GA",3138,Atlanta Dream,2022
5-Jun-22,Indiana Fever,Regular season,Gateway Center Arena,"Atlanta, GA",3000,Atlanta Dream,2022
21-Jun-22,Dallas Wings,Regular season,Gateway Center Arena,"Atlanta, GA",2012,Atlanta Dream,2022
24-Jun-22,New York Liberty,Regular season,Gateway Center Arena,"Atlanta, GA",2697,Atlanta Dream,2022
26-Jun-22,Connecticut Sun,Regular season,Gateway Center Arena,"Atlanta, GA",2722,Atlanta Dream,2022
3-Jul-22,Seattle Storm,Regular season,Gateway Center Arena,"Atlanta, GA",3138,Atlanta Dream,2022
6-Jul-22,Washington Mystics,Regular season,Gateway Center Arena,"Atlanta, GA",1810,Atlanta Dream,2022
15-Jul-22,Connecticut Sun,Regular season,Gateway Center Arena,"Atlanta, GA",2962,Atlanta Dream,2022
28-Jul-22,Minnesota Lynx,Regular season,Gateway Center Arena,"Atlanta, GA",2396,Atlanta Dream,2022
30-Jul-22,Dallas Wings,Regular season,Gateway Center Arena,"Atlanta, GA",3138,Atlanta Dream,2022
3-Aug-22,Indiana Fever,Regular season,Gateway Center Arena,"Atlanta, GA",2071,Atlanta Dream,2022
5-Aug-22,Los Angeles Sparks,Regular season,Gateway Center Arena,"Atlanta, GA",3138,Atlanta Dream,2022
